0.000000000000000000e+00,1.530505745560000060e-04,0.000000000000000000e+00,1.249999895839999902e-04
1.530505745560000060e-04,3.189199793240000145e-04,1.249999895839999902e-04,2.602847947239999909e-04
3.189199793240000145e-04,4.863854711690000147e-04,2.602847947239999909e-04,4.066857768479999907e-04
4.863854711690000147e-04,6.596641251339999687e-04,4.066857768479999907e-04,5.650989395700000252e-04
6.596641251339999687e-04,8.418469267800000096e-04,5.650989395700000252e-04,7.364895126789999498e-04
8.418469267800000096e-04,1.035328806570000098e-03,7.364895126789999498e-04,9.218967835989999885e-04
1.035328806570000098e-03,1.242105202159999970e-03,9.218967835989999885e-04,1.122439175189999909e-03
1.242105202159999970e-03,1.463958358009999914e-03,1.122439175189999909e-03,1.339319565460000061e-03
1.463958358009999914e-03,1.702572801999999901e-03,1.339319565460000061e-03,1.573830840460000010e-03
1.702572801999999901e-03,1.959608456540000085e-03,1.573830840460000010e-03,1.827361666880000009e-03
1.959608456540000085e-03,2.236748055090000045e-03,1.827361666880000009e-03,2.101402464670000005e-03
2.236748055090000045e-03,2.535729646779999805e-03,2.101402464670000005e-03,2.397551553180000006e-03
2.535729646779999805e-03,2.858369530040000099e-03,2.397551553180000006e-03,2.717521435880000148e-03
2.858369530040000099e-03,3.206580231519999893e-03,2.717521435880000148e-03,3.063145179110000026e-03
3.206580231519999893e-03,3.582383721629999861e-03,3.063145179110000026e-03,3.436382829129999879e-03
3.582383721629999861e-03,3.987923403070000108e-03,3.436382829129999879e-03,3.839327798920000052e-03
3.987923403070000108e-03,4.425472383900000070e-03,3.839327798920000052e-03,4.274213141319999770e-03
4.425472383900000070e-03,4.897445129719999769e-03,4.274213141319999770e-03,4.743417608529999600e-03
4.897445129719999769e-03,5.406402897369999745e-03,4.743417608529999600e-03,5.249471379379999983e-03
5.406402897369999745e-03,5.955059823690000281e-03,5.249471379379999983e-03,5.795061314729999663e-03
5.955059823690000281e-03,6.546289936090000060e-03,5.795061314729999663e-03,6.383035578339999599e-03
6.546289936090000060e-03,7.183129962380000247e-03,6.383035578339999599e-03,7.016407435640000315e-03
7.183129962380000247e-03,7.868784085380000140e-03,7.016407435640000315e-03,7.698358015320000240e-03
7.868784085380000140e-03,8.606625370689999222e-03,7.698358015320000240e-03,8.432237790210000278e-03
8.606625370689999222e-03,9.400196240339999190e-03,8.432237790210000278e-03,9.221566503390000308e-03
9.400196240339999190e-03,1.025320606339999961e-02,9.221566503390000308e-03,1.007003123480000074e-02
1.025320606339999961e-02,1.116952786790000041e-02,1.007003123480000074e-02,1.098148227250000074e-02
1.116952786790000041e-02,1.215319155170000061e-02,1.098148227250000074e-02,1.195992642399999924e-02
1.215319155170000061e-02,1.320837425669999995e-02,1.195992642399999924e-02,1.300951737310000050e-02
1.320837425669999995e-02,1.433938743620000004e-02,1.300951737310000050e-02,1.413454266940000065e-02
1.433938743620000004e-02,1.555065995159999985e-02,1.413454266940000065e-02,1.533940691589999981e-02
1.555065995159999985e-02,1.684671700490000118e-02,1.533940691589999981e-02,1.662861071380000028e-02
1.684671700490000118e-02,1.823215432880000153e-02,1.662861071380000028e-02,1.800672492969999927e-02
1.823215432880000153e-02,1.971160708590000143e-02,1.800672492969999927e-02,1.947835986209999967e-02
1.971160708590000143e-02,2.128971351989999983e-02,1.947835986209999967e-02,2.104812892600000165e-02
2.128971351989999983e-02,2.297107260319999900e-02,2.104812892600000165e-02,2.272060652769999911e-02
2.297107260319999900e-02,2.476019557689999873e-02,2.272060652769999911e-02,2.450027988529999978e-02
2.476019557689999873e-02,2.666145136230000171e-02,2.450027988529999978e-02,2.639149466200000141e-02
2.666145136230000171e-02,2.867900564949999939e-02,2.639149466200000141e-02,2.839839441960000099e-02
2.867900564949999939e-02,3.081675404360000037e-02,2.839839441960000099e-02,3.052485407579999879e-02
3.081675404360000037e-02,3.307824949600000203e-02,3.052485407579999879e-02,3.277440775610000051e-02
3.307824949600000203e-02,3.546662485450000069e-02,3.277440775610000051e-02,3.515017167480000149e-02
3.546662485450000069e-02,3.798451118110000163e-02,3.515017167480000149e-02,3.765476294819999903e-02
3.798451118110000163e-02,4.063395327930000023e-02,3.765476294819999903e-02,4.029021553650000143e-02
4.063395327930000023e-02,4.341632381620000314e-02,4.029021553650000143e-02,4.305789482189999878e-02
4.341632381620000314e-02,4.633223789779999935e-02,4.305789482189999878e-02,4.595841263699999846e-02
4.633223789779999935e-02,4.938147023750000253e-02,4.595841263699999846e-02,4.899154485619999777e-02
4.938147023750000253e-02,5.256287725739999805e-02,4.899154485619999777e-02,5.215615392510000031e-02
5.256287725739999805e-02,5.587432679329999707e-02,5.215615392510000031e-02,5.545011891639999718e-02
5.587432679329999707e-02,5.931263807219999684e-02,5.545011891639999718e-02,5.887027583470000325e-02
5.931263807219999684e-02,6.287353477300000604e-02,5.887027583470000325e-02,6.241237093319999818e-02
6.287353477300000604e-02,6.655161389340000233e-02,6.241237093319999818e-02,6.607102972999999435e-02
6.655161389340000233e-02,7.034033286749999392e-02,6.607102972999999435e-02,6.983974419940000566e-02
7.034033286749999392e-02,7.423201710929999697e-02,6.983974419940000566e-02,7.371088027010000432e-02
7.423201710929999697e-02,7.821788959309999845e-02,7.371088027010000432e-02,7.767570726439999851e-02
7.821788959309999845e-02,8.228812354349999969e-02,7.767570726439999851e-02,8.172445029439999453e-02
8.228812354349999969e-02,8.643191849060000154e-02,8.172445029439999453e-02,8.584636588810000413e-02
8.643191849060000154e-02,9.063759902390000622e-02,8.584636588810000413e-02,9.002984030430000173e-02
9.063759902390000622e-02,9.489273508920000044e-02,9.002984030430000173e-02,9.426250912490000133e-02
9.489273508920000044e-02,9.918428131869999609e-02,9.426250912490000133e-02,9.853139585919999666e-02
9.918428131869999609e-02,1.034987323880000032e-01,9.853139585919999666e-02,1.028230664850000031e-01
1.034987323880000032e-01,1.078222905809999993e-01,1.028230664850000031e-01,1.071237961540000005e-01
1.078222905809999993e-01,1.121410412990000022e-01,1.071237961540000005e-01,1.114197437390000017e-01
1.121410412990000022e-01,1.164411316950000053e-01,1.114197437390000017e-01,1.156971295410000045e-01
1.164411316950000053e-01,1.207089483669999963e-01,1.156971295410000045e-01,1.199424113219999949e-01
1.207089483669999963e-01,1.249312857109999980e-01,1.199424113219999949e-01,1.241424539190000009e-01
1.249312857109999980e-01,1.290955076720000094e-01,1.241424539190000009e-01,1.282846879829999953e-01
1.290955076720000094e-01,1.331896916389999908e-01,1.282846879829999953e-01,1.323572538710000024e-01
1.331896916389999908e-01,1.372027550250000116e-01,1.323572538710000024e-01,1.363491274059999980e-01
1.372027550250000116e-01,1.411245605650000012e-01,1.363491274059999980e-01,1.402502249570000137e-01
1.411245605650000012e-01,1.449459998590000021e-01,1.402502249570000137e-01,1.440514861870000052e-01
1.449459998590000021e-01,1.486590530730000081e-01,1.440514861870000052e-01,1.477449336389999868e-01
1.486590530730000081e-01,1.522568262239999970e-01,1.477449336389999868e-01,1.513237092009999951e-01
1.522568262239999970e-01,1.557335637639999937e-01,1.513237092009999951e-01,1.547820882400000042e-01
1.557335637639999937e-01,1.590846434600000081e-01,1.547820882400000042e-01,1.581154728699999956e-01
1.590846434600000081e-01,1.623065499390000110e-01,1.581154728699999956e-01,1.613203663389999876e-01
1.623065499390000110e-01,1.653968328240000008e-01,1.613203663389999876e-01,1.643943309170000089e-01
1.653968328240000008e-01,1.683540495449999952e-01,1.643943309170000089e-01,1.673359319380000043e-01
1.683540495449999952e-01,1.711776988669999888e-01,1.673359319380000043e-01,1.701446707250000023e-01
1.711776988669999888e-01,1.738681445209999954e-01,1.701446707250000023e-01,1.728209091679999976e-01
1.738681445209999954e-01,1.764265350910000085e-01,1.728209091679999976e-01,1.753657885730000032e-01
1.764265350910000085e-01,1.788547154239999992e-01,1.753657885730000032e-01,1.777811452510000001e-01
1.788547154239999992e-01,1.811551444270000089e-01,1.777811452510000001e-01,1.800694250179999956e-01
1.811551444270000089e-01,1.833308084359999979e-01,1.800694250179999956e-01,1.822335985499999866e-01
1.833308084359999979e-01,1.853851391920000036e-01,1.822335985499999866e-01,1.842770791580000123e-01
1.853851391920000036e-01,1.873219339009999929e-01,1.842770791580000123e-01,1.862036443039999933e-01
1.873219339009999929e-01,1.891452820589999972e-01,1.862036443039999933e-01,1.880173618360000132e-01
1.891452820589999972e-01,1.908594962690000063e-01,1.880173618360000132e-01,1.897225216600000042e-01
1.908594962690000063e-01,1.924690493800000068e-01,1.897225216600000042e-01,1.913235733070000055e-01
1.924690493800000068e-01,1.939785187530000121e-01,1.913235733070000055e-01,1.928250696480000026e-01
1.939785187530000121e-01,1.953925349429999903e-01,1.928250696480000026e-01,1.942316168129999965e-01
1.953925349429999903e-01,1.967157378159999914e-01,1.942316168129999965e-01,1.955478302060000007e-01
