9.985187053999999840e-01,9.688990116000000263e-01,1.000000000000000000e+00,9.703998566000000547e-01
9.688990116000000263e-01,9.412609338999999853e-01,9.703998566000000547e-01,9.427570700999999831e-01
9.412609338999999853e-01,9.154565333999999943e-01,9.427570700999999831e-01,9.169321656000000154e-01
9.154565333999999943e-01,8.913062810999999863e-01,9.169321656000000154e-01,8.927510381000000050e-01
8.913062810999999863e-01,8.686107397000000230e-01,8.927510381000000050e-01,8.700175285000000258e-01
8.686107397000000230e-01,8.471998572000000172e-01,8.700175285000000258e-01,8.485640287000000281e-01
8.471998572000000172e-01,8.268963098999999595e-01,8.485640287000000281e-01,8.282146454000000046e-01
8.268963098999999595e-01,8.075581192999999880e-01,8.282146454000000046e-01,8.088284135000000097e-01
8.075581192999999880e-01,7.890433073000000519e-01,8.088284135000000097e-01,7.902640699999999851e-01
7.890433073000000519e-01,7.712290883000000319e-01,7.902640699999999851e-01,7.723991274999999490e-01
7.712290883000000319e-01,7.540097236999999675e-01,7.723991274999999490e-01,7.551283239999999619e-01
7.540097236999999675e-01,7.372791171000000476e-01,7.551283239999999619e-01,7.383455634000000156e-01
7.372791171000000476e-01,7.209457755000000523e-01,7.383455634000000156e-01,7.219594121000000309e-01
7.209457755000000523e-01,7.049278020999999450e-01,7.219594121000000309e-01,7.058880924999999529e-01
7.049278020999999450e-01,6.891410351000000212e-01,7.058880924999999529e-01,6.900473833000000390e-01
6.891410351000000212e-01,6.735068560000000426e-01,6.900473833000000390e-01,6.743584871000000147e-01
6.735068560000000426e-01,6.579551697000000088e-01,6.743584871000000147e-01,6.587513088999999988e-01
6.579551697000000088e-01,6.424111127999999615e-01,6.587513088999999988e-01,6.431508063999999969e-01
6.424111127999999615e-01,6.267984508999999704e-01,6.431508063999999969e-01,6.274806260999999941e-01
6.267984508999999704e-01,6.110423803000000209e-01,6.274806260999999941e-01,6.116656065000000142e-01
6.110423803000000209e-01,5.950673818999999698e-01,6.116656065000000142e-01,5.956302285000000252e-01
5.950673818999999698e-01,5.787885784999999839e-01,5.956302285000000252e-01,5.792893170999999786e-01
5.787885784999999839e-01,5.621146559999999903e-01,5.792893170999999786e-01,5.625511408000000158e-01
5.621146559999999903e-01,5.449500083999999633e-01,5.625511408000000158e-01,5.453199147999999719e-01
5.449500083999999633e-01,5.271871686000000334e-01,5.453199147999999719e-01,5.274878144000000324e-01
5.271871686000000334e-01,5.087016224999999503e-01,5.274878144000000324e-01,5.089297890999999741e-01
5.087016224999999503e-01,4.893535674000000224e-01,5.089297890999999741e-01,4.895056187999999864e-01
4.893535674000000224e-01,4.689826369000000272e-01,4.895056187999999864e-01,4.690543114999999874e-01
4.689826369000000272e-01,4.473975300999999960e-01,4.690543114999999874e-01,4.473839700000000197e-01
4.473975300999999960e-01,4.243723452000000007e-01,4.473839700000000197e-01,4.242677986999999762e-01
4.243723452000000007e-01,3.996351062999999870e-01,4.242677986999999762e-01,3.994329274000000263e-01
3.996351062999999870e-01,3.728542029999999952e-01,3.994329274000000263e-01,3.725465237999999735e-01
3.728542029999999952e-01,3.448328077999999741e-01,3.725465237999999735e-01,3.444145023999999888e-01
3.448328077999999741e-01,3.163414001000000031e-01,3.444145023999999888e-01,3.158100843000000157e-01
3.163414001000000031e-01,2.874985932999999938e-01,3.158100843000000157e-01,2.868524492000000259e-01
2.874985932999999938e-01,2.584294080999999799e-01,2.868524492000000259e-01,2.576672434999999761e-01
2.584294080999999799e-01,2.292610854000000087e-01,2.576672434999999761e-01,2.283822745000000098e-01
2.292610854000000087e-01,2.001238613999999916e-01,2.283822745000000098e-01,1.991284638999999967e-01
